module,address,address_end,default,name,description,op
MEMCFG,0xFFE0,0xFFFF,0x0000,Reserved,All MEMCFG addresses in this documented range are reserved.,delete
PERIPHCFG,0x00C1,0x00C3,0x0000,Reserved,Reserved.,delete
PERIPHCFG,0x00C7,0x00C9,0x0000,Reserved,Reserved.,delete
PERIPHCFG,0x00CB,0x00D1,0x0000,Reserved,Reserved.,delete
PLLCFG,0x0031,0x003F,0x0000,Reserved,Reserved. 0x0038 - 0x003F are also reserved.,delete
TSTCFG,0x0062,0x0064,0x0000,Reserved,Reserved.,delete
TSTCFG,0x006A,0x006D,0x0000,Reserved,Reserved.,delete
TSTCFG,0x006E,0x0071,0x0000,Reserved,Reserved.,delete
TSTCFG,0x0074,0x007C,0x0000,Reserved,Reserved.,delete
FPGACFG,0x0000,,0x0011,board_id,Board identification number (LimeSDR Mini default 0x0011).,upsert
FPGACFG,0x0001,,,gw_ver,Gateware version number.,upsert
FPGACFG,0x0002,,,gw_rev,Gateware revision number.,upsert
FPGACFG,0x0003,,,"bom_ver, hw_ver",Board BOM version and hardware version.,upsert
FPGACFG,0x0005,,0x0000,drct_clk_en,Clock source selection for RX/TX interfaces.,upsert
FPGACFG,0x0007,,0x0303,ch_en,RX/TX MIMO channel enable control.,upsert
FPGACFG,0x0008,,0x0102,"dlb_en, synch_dis, mimo_int_en, triq_pulse, ddr_en, mode, smpl_width",DIQ interface control.,upsert
FPGACFG,0x0009,,0x0003,"txpct_loss_clr, smpl_nr_clr",Packet control: TX packet-loss clear and timestamp reset.,upsert
FPGACFG,0x000A,,0x0000,"tx_ptrn_en, rx_ptrn_en, tx_en, rx_en",RX/TX module control.,upsert
FPGACFG,0x000C,,0x0003,wfm_ch_en,WFM player channel enable control.,upsert
FPGACFG,0x000D,,0x0001,"wfm_load, wfm_play",WFM player load/play control.,upsert
FPGACFG,0x000E,,0x0002,wfm_smpl_width,WFM player sample width control.,upsert
FPGACFG,0x000F,,0x0000,Reserved,Reserved.,upsert
FPGACFG,0x0010,,0x0000,Reserved,Reserved.,upsert
FPGACFG,0x0011,,0x0000,Reserved,Reserved.,upsert
FPGACFG,0x0012,,0xFFFF,spi_ss,Controlled SPI slave-select enable bits.,upsert
FPGACFG,0x0013,,0x6F6F,lms_misc,LMS7002 MISC pin control.,upsert
FPGACFG,0x0014,,0x0000,Reserved,Reserved for lms3_4.,upsert
FPGACFG,0x0015,,0x0000,Reserved,Reserved for lms5_6.,upsert
FPGACFG,0x0016,,0x0000,Reserved,Reserved for lms7_8.,upsert
FPGACFG,0x0017,,0x0000,gpio,GPIO for external periphery.,upsert
FPGACFG,0x0018,,0x0001,dev_ctrl0,Device control bit 0 (not used).,upsert
FPGACFG,0x0019,,,Reserved,Reserved.,upsert
FPGACFG,0x001A,,0x0000,fpga_led_ctrl,Onboard FPGA LED override/control.,upsert
FPGACFG,0x001C,,0x0000,fx3_led_ctrl,Onboard FX3 LED override/control.,upsert
FPGACFG,0x001D,,0x0000,Reserved,Reserved.,upsert
FPGACFG,0x001E,,0x0000,Reserved,Reserved.,upsert
FPGACFG,0x001F,,0x0000,Reserved,Reserved.,upsert
PERIPHCFG,0x00C0,,0xFFFF,board_gpio_ovrd,Board GPIO override control.,upsert
PERIPHCFG,0x00C1,,,Reserved,Reserved for GPIO.,upsert
PERIPHCFG,0x00C2,,0x0000,board_gpio_rd,Board GPIO read value.,upsert
PERIPHCFG,0x00C3,,,Reserved,Reserved for GPIO.,upsert
PERIPHCFG,0x00C4,,0x0000,board_gpio_dir,Board GPIO direction control.,upsert
PERIPHCFG,0x00C5,,,Reserved,Reserved for GPIO.,upsert
PERIPHCFG,0x00C6,,0x0000,board_gpio_val,Board GPIO output value control.,upsert
PERIPHCFG,0x00C7,,,Reserved,Reserved for GPIO.,upsert
PERIPHCFG,0x00C8,,0x0000,periph_input_rd_0,Peripheral input readback 0 (not used).,upsert
PERIPHCFG,0x00C9,,0x0000,periph_input_rd_1,Peripheral input readback 1 (not used).,upsert
PERIPHCFG,0x00CA,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00CB,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00CC,,0x0000,periph_output_ovrd_0,Peripheral output override 0 (fan).,upsert
PERIPHCFG,0x00CD,,0x0000,periph_output_val_0,Peripheral output value 0 (fan).,upsert
PERIPHCFG,0x00CE,,0x0000,periph_output_ovrd_1,Peripheral output override 1 (not used).,upsert
PERIPHCFG,0x00CF,,0x0000,periph_output_val_1,Peripheral output value 1 (not used).,upsert
PERIPHCFG,0x00D0,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D1,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D2,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D3,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D4,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D5,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D6,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D7,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D8,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00D9,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DA,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DB,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DC,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DD,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DE,,,Reserved,Reserved.,upsert
PERIPHCFG,0x00DF,,,Reserved,Reserved.,upsert
PLLCFG,0x0020,,0x0000,Reserved,Reserved.,upsert
PLLCFG,0x0021,,0x0001,"auto_phcfg_err, auto_phcfg_done, busy, done",PLL configuration status.,upsert
PLLCFG,0x0022,,0x0000,pll_lock,RX/TX PLL lock status.,upsert
PLLCFG,0x0023,,0x0000,"phcfg_mode, phcfg_updn, cnt_ind, pll_ind, pllrst_start, phcfg_start, pllcfg_start",PLL control.,upsert
PLLCFG,0x0024,,0x0000,cnt_phase,Counter phase value.,upsert
PLLCFG,0x0025,,0x01F0,"pllcfg_bs, chp_curr, pllcfg_vcodiv, pllcfg_lf_res, pllcfg_lf_cap",PLL reconfiguration settings.,upsert
PLLCFG,0x0026,,0x0001,"m_odddiv, m_byp, n_odddiv, n_byp",M/N counter bypass and odd-division control.,upsert
PLLCFG,0x0027,,0x555A,c0..c7_byp_odddiv,Counter bypass and odd-division control bits for C0..C7.,upsert
PLLCFG,0x0028,,0x5555,c8..c15_byp_odddiv,Counter bypass and odd-division control bits for C8..C15.,upsert
PLLCFG,0x0029,,,Reserved,Reserved.,upsert
PLLCFG,0x002A,,0x0000,"n_hcnt, n_lcnt",N counter values.,upsert
PLLCFG,0x002B,,0x0000,"m_hcnt, m_lcnt",M counter values.,upsert
PLLCFG,0x002C,,0x0000,m_frac_l,M fractional counter values [15:0].,upsert
PLLCFG,0x002D,,0x0000,m_frac_h,M fractional counter values [31:16].,upsert
PLLCFG,0x002E,,0x0000,"c0_hcnt, c0_lcnt",C0 counter values.,upsert
PLLCFG,0x002F,,0x0000,"c1_hcnt, c1_lcnt",C1 counter values.,upsert
PLLCFG,0x0030,,0x0000,"c2_hcnt, c2_lcnt",C2 counter values.,upsert
PLLCFG,0x0031,,0x0000,"c3_hcnt, c3_lcnt",C3 counter values.,upsert
PLLCFG,0x0032,,0x0000,"c4_hcnt, c4_lcnt",C4 counter values.,upsert
PLLCFG,0x0033,,0x0000,"c5_hcnt, c5_lcnt",C5 counter values.,upsert
PLLCFG,0x0034,,0x0000,"c6_hcnt, c6_lcnt",C6 counter values.,upsert
PLLCFG,0x0035,,0x0000,"c7_hcnt, c7_lcnt",C7 counter values.,upsert
PLLCFG,0x0036,,0x0000,"c8_hcnt, c8_lcnt",C8 counter values.,upsert
PLLCFG,0x0037,,0x0000,"c9_hcnt, c9_lcnt",C9 counter values.,upsert
PLLCFG,0x0038,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x0039,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x003A,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x003B,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x003C,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x003D,,,Reserved,Reserved for C10..C15 counter values.,upsert
PLLCFG,0x003E,,0x0FFF,auto_phcfg_smpls,Samples to compare in auto phase-shift mode.,upsert
PLLCFG,0x003F,,0x0002,auto_phcfg_step,Step size for auto phase.,upsert
TSTCFG,0x0060,,0x00F0,"spi_sign_rezult, spi_sign",SPI signature and test register.,upsert
TSTCFG,0x0061,,0x0000,test_en,Test enable controls.,upsert
TSTCFG,0x0062,,,Reserved,Reserved.,upsert
TSTCFG,0x0063,,0x0000,test_frc_err,Error insertion controls for tests.,upsert
TSTCFG,0x0064,,,Reserved,Reserved.,upsert
TSTCFG,0x0065,,0x0000,test_cmplt,Test completion status bits.,upsert
TSTCFG,0x0066,,,Reserved,Reserved.,upsert
TSTCFG,0x0067,,0x0000,test_rez,Test result bits.,upsert
TSTCFG,0x0068,,,Reserved,Reserved.,upsert
TSTCFG,0x0069,,,fx3_clk_cnt,FX3 PCLK counter value.,upsert
TSTCFG,0x006A,,,si5351c_clk0_cnt,Si5351C CLK0 counter value.,upsert
TSTCFG,0x006B,,,si5351c_clk1_cnt,Si5351C CLK1 counter value.,upsert
TSTCFG,0x006C,,,si5351c_clk2_cnt,Si5351C CLK2 counter value.,upsert
TSTCFG,0x006D,,,si5351c_clk3_cnt,Si5351C CLK3 counter value.,upsert
TSTCFG,0x006E,,,Reserved,Reserved.,upsert
TSTCFG,0x006F,,,si5351c_clk5_cnt,Si5351C CLK5 counter value.,upsert
TSTCFG,0x0070,,,si5351c_clk6_cnt,Si5351C CLK6 counter value.,upsert
TSTCFG,0x0071,,,si5351c_clk7_cnt,Si5351C CLK7 counter value.,upsert
TSTCFG,0x0072,,,lmk_clk_cnt_l,LMK clock counter low word.,upsert
TSTCFG,0x0073,,,lmk_clk_cnt_h,LMK clock counter high word.,upsert
TSTCFG,0x0074,,,adf_cnt,ADF transition count value.,upsert
TSTCFG,0x0075,,,Reserved,Reserved.,upsert
TSTCFG,0x0076,,,ddr2_1_tst_detail1,DDR2_1 detailed test result flags.,upsert
TSTCFG,0x0077,,,ddr2_1_pnf_per_bit_l,DDR2_1 data [15:0] pass/fail per bit.,upsert
TSTCFG,0x0078,,,ddr2_1_pnf_per_bit_h,DDR2_1 data [31:16] pass/fail per bit.,upsert
TSTCFG,0x0079,,,Reserved,Reserved.,upsert
TSTCFG,0x007A,,,ddr2_2_tst_detail1,DDR2_2 detailed test result flags.,upsert
TSTCFG,0x007B,,,ddr2_2_pnf_per_bit_l,DDR2_2 data [15:0] pass/fail per bit.,upsert
TSTCFG,0x007C,,,ddr2_2_pnf_per_bit_h,DDR2_2 data [31:16] pass/fail per bit.,upsert
TSTCFG,0x007D,,0xAAAA,tx_tst_i,TX test pattern I sample value.,upsert
TSTCFG,0x007E,,0x5555,tx_tst_q,TX test pattern Q sample value.,upsert
TSTCFG,0x007F,,,Reserved,Reserved.,upsert
